id,date,title,category
12136,2013-10-28,Request to accept the resignation of Corinne Abbott from the Community Enhancement Commission.,Appointments & Resignations
12451,2014-02-03,Accept Resignation Of Jessica Hurst From The Community Enhancement Commission.,Appointments & Resignations
12798,2014-04-07,Request to Appoint Mayor,Appointments & Resignations
12812,2014-04-07,Appointment of Mayor,Appointments & Resignations
13136,2014-05-19,Appointment to Town Council to Fill Vacancy.,Appointments & Resignations
13229,2014-06-16,Appointment of Town Officials for Fiscal Year 2014-2015,Appointments & Resignations
13230,2014-06-16,Accept Resignation of Melvin R. McCoy From the Planning Commission.,Appointments & Resignations
13246,2014-06-16,Appointment to Town Council to Fill Vacancy.,Appointments & Resignations
13281,2014-07-07,"Accept resignation of Marshall O. Potter, Jr. from the Board of Zoning Appeals.",Appointments & Resignations
14006,2014-11-17,Accept Resignation Of Bridget Halsall From The Town Business Liaison Committee.,Appointments & Resignations
14196,2015-02-23,"Consideration of Vacation of a Portion of Locust Street SE Adjacent to Vienna Elementary School and Waters Field, Acquire Appraisal and Appoint Viewers.",Appointments & Resignations
14566,2015-07-06,Appointment of Town Officials for Fiscal Year 2015-2016,Appointments & Resignations
15434,2016-06-06,Appointment of Town Officials for Fiscal Year 2016-2017,Appointments & Resignations
16414,2017-06-05,Appointment of Town Officials for Fiscal Year 2017-18,Appointments & Resignations
18564,2018-06-04,Appointment of Town Officials for Fiscal Year 2018-19,Appointments & Resignations
18698,2018-07-09,Request to appoint viewers for alley vacation for property adjacent to 211-213 Mill Street NE and 156 Church Street NE,Appointments & Resignations
20513,2019-06-03,Appointment of Town Officials for Fiscal Year 2019-20,Appointments & Resignations
22807,2020-06-01,Appointment of Town Officials for Fiscal Year 2020-21,Appointments & Resignations
25444,2021-06-07,Appointment of Town Officials for Fiscal Year 2021-22,Appointments & Resignations
28371,2022-06-06,Appointment of Town Officials for Fiscal Year 2022-23,Appointments & Resignations
30831,2023-06-05,Appointment of Town Officials for Fiscal Year 2023-24,Appointments & Resignations
33264,2024-06-03,8:45 p.m. - 9:00 p.m. - Appointment of Town Officials for Fiscal Year 2024-25,Appointments & Resignations
34427,2024-12-09,Appointment of Treasurer,Appointments & Resignations
35788,2025-06-02,8:45 p.m. - 9:00 p.m. Appointment of Town Officials for Fiscal Year 2025-26,Appointments & Resignations
36326,2025-09-08,Appoint New Town Clerk,Appointments & Resignations
36327,2025-09-08,Appointment / Re-appointment to Town Boards and Commissions,Appointments & Resignations
38131,2026-06-01,Appointment of Town Officials for FY 2026-27,Appointments & Resignations
12128,2013-10-28,Request to adopt the Town of Vienna Capital Improvement Plan for 2014 through 2030.,"Budget, Taxes & Finance"
12132,2013-10-28,Request to approve the proposed General Obligation Debt Ordinance at the conclusion of the Public Hearing on 2014 Financing of Capital Improvement Projects.,"Budget, Taxes & Finance"
12165,2013-11-04,Request for approval of bank placement and/or bond issuance.,"Budget, Taxes & Finance"
12220,2013-11-18,Request Council appropriation of FY 2012 - 2013 encumbrance balances and carry forward request into the FY 2013 - 2014 General Fund budget.,"Budget, Taxes & Finance"
12320,2013-12-16,"Request to accept the Comprehensive Annual Financial Report (CAFR) for fiscal year ending June 30, 2013.","Budget, Taxes & Finance"
12325,2013-12-16,Distinguished Budget Presentation Award,"Budget, Taxes & Finance"
12639,2014-03-17,Request to set Public Hearing date for FY 2014-2015 Budget.,"Budget, Taxes & Finance"
12641,2014-03-17,Request to set date of Public Hearing for FY 2014-2015 Real Estate Tax rate.,"Budget, Taxes & Finance"
12642,2014-03-17,Request to approve supplemental legal fees for services rendered.,"Budget, Taxes & Finance"
12760,2014-03-22,FY 14/15 Budget Work Session,"Budget, Taxes & Finance"
12779,2014-03-24,FY 14/15 Budget Work Session,"Budget, Taxes & Finance"
12806,2014-04-07,Public Hearing on FY 2014-2015 Proposed Budget.,"Budget, Taxes & Finance"
12861,2014-04-28,Annual Audit Fee to Robinson Farmer Cox Associates PLLC,"Budget, Taxes & Finance"
12871,2014-04-28,Public Hearing for FY 2014/15 Proposed Real Estate Tax Rate,"Budget, Taxes & Finance"
12901,2014-05-12,Intent to adopt the Real Estate Property Tax Rate for Fiscal Year 2014-2015.,"Budget, Taxes & Finance"
12908,2014-05-12,Intent to Adopt the Fiscal Year 2014-2015 Budget,"Budget, Taxes & Finance"
13161,2014-06-02,Renewal of Annual Audit Contract to Robinson Farmer Cox Associates PLLC.,"Budget, Taxes & Finance"
13225,2014-06-16,Request approval to purchase a server and storage hardware for the Town Financial and Application Systems.,"Budget, Taxes & Finance"
13360,2014-09-08,Supplemental Invoice for Town Attorney Charges.,"Budget, Taxes & Finance"
13405,2014-09-22,Request to approve FY14 and FY15 spending with Double H Locates.,"Budget, Taxes & Finance"
13437,2014-10-20,Request for Approval to Increase the Spending Limit for Council Approval.,"Budget, Taxes & Finance"
13440,2014-10-20,Approval of Capital Improvement Plan Through 2030.,"Budget, Taxes & Finance"
13446,2014-10-20,"Award contract for hot-mix asphalt to National Asphalt Manufacturing Corporation, and approve FY15 spending.","Budget, Taxes & Finance"
13513,2014-11-03,Request to approve FY15 spending with Cargill Inc. for roadway deicing salt.,"Budget, Taxes & Finance"
14063,2014-12-15,"Request to Accept the Comprehensive Annual Financial Report for Fiscal Year Ending June 30, 2014","Budget, Taxes & Finance"
14332,2015-04-13,Request the Award of Contact RFP 15-04 For Auditing Services.,"Budget, Taxes & Finance"
14337,2015-04-13,Public Hearing on FY 2015-2016 Proposed Budget.,"Budget, Taxes & Finance"
14395,2015-04-27,Request to approve additional FY15 spending with HD Supply.,"Budget, Taxes & Finance"
14399,2015-04-27,Public Hearing for FY 2015/16 Proposed Real Estate Tax Rate,"Budget, Taxes & Finance"
