meeting_date,item_id,title,topic_unofficial,vote_tally,meeting_url
2026-07-06,38299,"Invocation: Corky Eddins, Christ Church Vienna",Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38300,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38301,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38302,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38327,Approval of the Draft Town Council Meeting Minutes from May 11th and June 1st and the Draft Town Council Work Session Minutes from June 1st.,Minutes,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38303,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38305,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38306,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38307,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38308,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38330,"Principal Liz Calvert, Retirement Recognition",Proclamations & Recognitions,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38323,National Parks & Recreation Month,Parks & Recreation,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38309,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38310,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38312,Consent Agenda,Consent Agenda,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38320,Appropriate Spending for the Town Attorney for FY 2026-27,"Budget, Taxes & Finance",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38318,"Intent to adopt a proposed ordinance to amend the Code of the Town of Vienna, Chapter 9, Motor Vehicles and Traffic, Article 1, In General, Section 9-3, Adoption of State Code.","Streets, Sidewalks & Transportation",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Governance & Administration,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38319,Approval of payment to Tyler Technologies for the standard software maintenance agreement (SSMA) for the Vienna Finance Department,"Budget, Taxes & Finance",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E","Land Use, Zoning & Development",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Town Facilities & Property,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38317,"Recommend approval to add 217 Walnut Lane, NW, to the Town of Vienna Historic Property Register.","Land Use, Zoning & Development",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38321,"Request to Award Invitation for Bid (IFB) 26-11 to Sagres Construction Corporation (Primary) and Crown Construction Service, Inc (Secondary) for Provision and Installation of Water Mains","Water, Sewer & Stormwater",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38322,"Request to award Purchase Order for Engineering & Design Services to WSP USA Environment & Infrastructure, Inc. for the Bear Branch - Onondio Circle Stream Restoration Project.","Environment, Trees & Sustainability",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Parks & Recreation,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38325,"Amend Council’s June 1, 2026, motion to reschedule the Tree Advocacy Committee - Green Streets Policy work session from July 6, 2026, to Aug.  24, 2026","Environment, Trees & Sustainability",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38313,Regular Business,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%","Budget, Taxes & Finance",,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38328,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-07-06,38329,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-07-06.html
2026-06-01,38110,"Invocation: Mercury Payton, Town Manager",Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38111,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38112,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38113,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38132,Approval of the Draft May 11th Town Council Work Session Minutes,Minutes,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38114,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38115,,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38116,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38117,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38118,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38119,Report of the Mayor - Board and Commission Certificate of Appreciation,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38120,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38121,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38123,Consent Agenda,Consent Agenda,7 Aye,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38125,FY 2027 funding of contracts issued by other jurisdictions under the Virginia Public Procurement Act cooperative procurement provisions.,Contracts & Purchasing,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38126,FY 2027 funding and renewal of Town contracts,Contracts & Purchasing,,https://viennavadata.org/meeting/2026-06-01.html
