meeting_date,item_id,item_title,member,vote
2026-07-06,38312,Consent Agenda,Chuck Anderson,Aye
2026-07-06,38312,Consent Agenda,Roy Baldwin,Aye
2026-07-06,38312,Consent Agenda,Doug Francis,Aye
2026-07-06,38312,Consent Agenda,Dann Nash,Aye
2026-07-06,38312,Consent Agenda,Jessica Ramakis,Aye
2026-07-06,38312,Consent Agenda,Howard J. Springsteen,Aye
2026-07-06,38312,Consent Agenda,Linda Colbert,Aye
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Chuck Anderson,Nay
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Roy Baldwin,Aye
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Doug Francis,Aye
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Dann Nash,Aye
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Jessica Ramakis,Aye
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Howard J. Springsteen,Aye
2026-07-06,38326,"Request to Set a Public Hearing for Sept. 14, 2026 Regarding Reducing the Town of Vienna Meals Tax Rate from 4% to 3%",Linda Colbert,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Chuck Anderson,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Roy Baldwin,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Doug Francis,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Dann Nash,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Jessica Ramakis,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Howard J. Springsteen,Aye
2026-07-06,38314,Request to adopt 2027 Town Council meeting schedule for inclusion in the 2027 Town of Vienna Calendar.,Linda Colbert,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Chuck Anderson,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Roy Baldwin,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Doug Francis,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Dann Nash,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Jessica Ramakis,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Howard J. Springsteen,Aye
2026-07-06,38315,"Request to set a Public Hearing for Aug. 24, 2026, for AT&T Mobility’s request for Modification of Requirements at 527 Maple Ave., E",Linda Colbert,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Chuck Anderson,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Roy Baldwin,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Doug Francis,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Dann Nash,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Jessica Ramakis,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Howard J. Springsteen,Aye
2026-07-06,38316,"Change Order to Add Design of the 2nd Floor and Basement to RFP 24-19, 1st Floor Town Hall Renovation - Architectural Drawings for Construction",Linda Colbert,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Chuck Anderson,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Roy Baldwin,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Doug Francis,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Dann Nash,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Jessica Ramakis,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Howard J. Springsteen,Aye
2026-07-06,38324,"Request approval to increase FY27 spending with Brightview Landscape Services, Inc., for maintenance of landscape beds and hardscaped areas within Town rights-of-way and parks.",Linda Colbert,Aye
2026-06-01,38123,Consent Agenda,Chuck Anderson,Aye
2026-06-01,38123,Consent Agenda,Roy Baldwin,Aye
2026-06-01,38123,Consent Agenda,Doug Francis,Aye
2026-06-01,38123,Consent Agenda,Dann Nash,Aye
2026-06-01,38123,Consent Agenda,Jessica Ramakis,Aye
2026-06-01,38123,Consent Agenda,Howard J. Springsteen,Aye
2026-06-01,38123,Consent Agenda,Linda Colbert,Aye
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Chuck Anderson,Nay
