meeting_date,body,case,title
2026-09-09,Planning Commission,PC26-307,Request for recommendation for a Conditional Use Permit to the Board of Zoning Appeals for Drive-Through Facility at 226 Maple Ave W
2026-09-09,Planning Commission,PC26-306,Selection of Planning Commission Member of Tree Advocacy Committee
2026-09-09,Planning Commission,26-5723,Acceptance of the Meeting Minute
2026-09-01,Windover Heights Board of Review,WHRB26-039,Transportation Study Review
2026-09-01,Windover Heights Board of Review,WHRB26-038,Review of FY2026 Annual Report
2026-09-01,Windover Heights Board of Review,WHRB26-037,WHBR Code Revisions
2026-08-26,Planning Commission,PC26-305,"REQUEST FOR RECOMMENDATION FOR A CONDITIONAL USE PERMIT TO THE BOARD OF ZONING APPEALS FOR SPECIALIZED INSTRUCTION AT 396A MAPLE AVE E IN THE AVENUE EAST (AE) ZONING DISTRICT. APPLICATION FILED BY PINAR TURHAN, CLAY & KILN STUDIOS LLC."
2026-08-26,Planning Commission,PC26-304,Consideration of the Planning Commission draft Annual Report for FISCAL YEAR 2026
2026-08-26,Planning Commission,26-5710,Acceptance of the Meeting Minutes
2026-08-20,Board of Architectural Review,BAR26-709,820 Follin Ln SE & 1007 Electric Ave SE - Navy Federal Credit Union - LED Signs
2026-08-20,Board of Architectural Review,BAR26-708,145 Church St NW - KIN Café - Signs
2026-08-20,Board of Architectural Review,BAR26-707,"131 Church St NW - Karizma Shoppe, LLC - Sign"
2026-07-24,Board of Architectural Review,BAR26-706,527 Maple Ave E - AT&T Telecommunication - Recommendation for Modification of Requirements
2026-07-24,Board of Architectural Review,BAR26-705,527 Maple Ave E - AT&T Telecommunication - Exterior Modification
2026-07-16,Board of Architectural Review,BAR26-704,245 Maple Ave W - Vienna Market - Revision
2026-07-16,Board of Architectural Review,BAR26-703,527 Maple Ave E - AT&T Wireless - Exterior Modifications
2026-07-16,Board of Architectural Review,BAR26-702,527 Maple Ave W - AT&T Wireless - Town Council Recommendation
2026-07-16,Board of Architectural Review,BAR26-701,415 Windover Ave NW - Green Hedges School - Exterior Modifications
2026-07-16,Board of Architectural Review,BAR26-700,820 Follin Ln SE - Navy Federal Credit Union - Exterior Modifications
2026-07-16,Board of Architectural Review,BAR26-699,396 Maple Ave E - Clay & Kiln Club - Signs
2026-07-16,Board of Architectural Review,BAR26-698,145 Church St NW - KIN Café - Sign
2026-07-16,Board of Architectural Review,BAR26-697,523 Maple Ave W - Maple Spa - Sign
2026-07-16,Board of Architectural Review,BAR26-696,523 Maple Ave W - Bagel Street 523 - Sign
2026-07-15,Board of Zoning Appeals,BZA-26163,"Request for approval of a Conditional Use Permit in accordance with Sec. 18-304 of the Town of Vienna Zoning and Subdivision Ordinance for a Conditional Use Permit for Specialized Instruction at 512 Maple Ave W Suite 203, in the AW - Avenue West zoning district."
2026-07-15,Board of Zoning Appeals,BZA-26162,"Request for approval of a variance from Section 18-544.4., Prohibited Signs., of the Town of Vienna Zoning and Subdivision Ordinance, to install 6 LED sign boards with changeable copy on and around parking facilities at the Navy Federal Credit Union campus at 820 Follin Ln SE and 1007 Electric Avenue, in the CP Corporate Park zoning district."
2026-07-15,Board of Zoning Appeals,BZA-26161,"Request for approval of a variance from Section 18-218.2., RS-12.5, Dimensional Standards., Rear Yard, of the Town of Vienna Zoning and Subdivision Ordinance, to construct a deck encroaching into the required rear yard, attached to an existing single-unit dwelling located at 420 Orchard St. NW, in the RS-12.5, Single-Unit Detached Residential zone."
2026-07-08,Planning Commission,PC26-303,Recommendation to the Board of Zoning Appeals for a Conditional Use Permit for Specialized Instruction at 512 Maple Avenue West Suite 203 for Zerkalo Musical Theater
2026-07-08,Planning Commission,26-5675,Acceptance of the Meeting Minutes
2026-06-24,Planning Commission,PC26-302,"Recommendation to Town Council for a Modification of Requirements for height of rooftop architectural features for co-location of a telecommunications wireless facility on an existing building roof, located at 527 Maple Avenue East."
2026-06-24,Planning Commission,26-5666,Acceptance of Meeting Minutes
2026-06-24,Planning Commission,26-5665,"Election of Chair for June 24, 2026, Planning Commission Meeting"
2026-06-18,Board of Architectural Review,BAR26-695,108 Church St NE - Moss - Signs and Exterior Modifications
2026-06-18,Board of Architectural Review,BAR26-694,226 Maple Ave E - Bernstein Management - Exterior Modifications
2026-06-18,Board of Architectural Review,BAR26-693,212 Park St SE- Vienna Family Dentist - Sign
2026-06-18,Board of Architectural Review,BAR26-692,126 Maple Ave W - Mashahweez - Signs
2026-06-18,Board of Architectural Review,BAR26-691,106 Lawyers Rd NW - Weird Brothers Coffee - Signs
2026-06-18,Board of Architectural Review,BAR26-690,421 Maple Ave W - Bakeshop - Sign Revision
2026-06-17,Board of Zoning Appeals,BZA-26159,"415 Windover Ave NW - Continuation of the request to amend an existing Conditional Use Permit to increase number of students from 190 to 210 and staff from 42 to 50, along with associated campus, circulation, buffering, and site improvements. Link to May 20, 2026, BZA materials can be found on the June 17, 2026, Staff Memo."
2026-06-17,Board of Zoning Appeals,BZA-26158,"544 Maple Ave W - Request approval of an application for a CUP pursuant to Sections 18-304 (Accessory Uses Table) and 18-323 (Drive-Through Facilities) of the Town of Vienna Zoning and Subdivision Ordinance. The request is to modify the existing drive-through facility at the McDonald’s restaurant located at 544 Maple Avenue West, in the AW (Area West Commercial) zoning district."
2026-06-17,Board of Architectural Review Work Session,BARWS26-103,245 Maple Ave W - Vienna Market
2026-06-03,Board of Architectural Review Work Session,BARWS26-102,415 Windover Ave NW - Green Hedges - Acoustical Fencing
2026-05-21,Board of Architectural Review,BAR26-689,132 Branch Rd SE - Chef Tan - Exterior Modification
2026-05-21,Board of Architectural Review,BAR26-688,Bakeshop Vienna - 421 Maple Ave E - Sign
2026-05-21,Board of Architectural Review,BAR26-687,Modalika Custom Tailoring - 145 Church St NW - Sign
2026-05-21,Board of Architectural Review,BAR26-686,Whistler’s Ice Cream - 521 Maple Ave W - Sign
2026-05-21,Board of Architectural Review,BAR26-685,541 Marshall Rd SW - Chinese Christian Church - Sign
2026-05-21,Board of Architectural Review,BAR26-683,"Lawyers Rd NW & Windover Ave NW- Salsbury Spring Park
Exterior Modifications & Sign"
2026-05-20,Board of Zoning Appeals,BZA-26155,"415 Windover Ave NW - Request to amend an existing Conditional Use Permit to increase number of students from 190 to 210 and staff from 42 to 50, along with associated campus, circulation, buffering, and site improvements."
2026-05-20,Board of Zoning Appeals,BZA-26154,"421 Church St NE Unit G - Request approval of a Conditional Use Permit for Specialized Instruction. The applicant intends to move a portion of their existing visual arts instruction business, currently located at 320 Maple Avenue East Suite E, to 421 Church Street NE Unit G."
2026-05-13,Planning Commission,PC26-300,Recommendation to Board of Zoning Appeals for a Conditional Use Permit for Specialized Instruction at 421 Church Street NE for New York School of Arts.
2026-05-13,Planning Commission,PC26-299,"Recommendation to Board of Zoning Appeals for a Conditional Use Permit for Modifications to an Existing Drive-Through Facility for the McDonald’s Restaurant Located at 544 Maple Avenue West, in the AW Avenue West zone."
2026-05-13,Planning Commission,PC26-298,Recommendation to the Town Council for Planning Commission Member of the Windover Heights Board of Review
2026-05-13,Planning Commission,26-5595,Acceptance of Meeting Minutes
2026-05-05,Windover Heights Board of Review,WHRB26-034,"Request for a Certificate of Appropriateness for a new fence at the property located at 313 Windover Avenue NW, Docket No. PF-#2118063-WHBR, in the RS-16, Residential single-unit, 16,000 sq. ft. zoning district. The application has been filed by Patrick Ohlhorst of Cloud IX Homes. Elshaday and Leah Belay are the property owners."
